OBJECTID,TRACT,ID2,GEO_ID,NAME,ID,TOTALPOP,P_POC,P_CHILD,P_ELDERLY,P_POVERTY,P_DISABILITY,P_LIMENG,ASTHMA,CHD,OBESITY,HSI,P_TREECOVER,P_NOTREE,P_IMPSURF,AIRTEMP_MEAN,HEI,HSEI,GIS_ID,SE_ANNO_CAD_DATA,GLOBALID,CREATOR,CREATED,EDITOR,EDITED,SHAPEAREA,SHAPELEN,GEOID,variable,estimate,moe,geometry
94,008803,11001008803,1400000US11001008803,"Census Tract 88.03, District of Columbia, District of Columbia",152,3376,78.4,2.3,3.8,50,27.4,8,13.2,4.1,30.7,0.41989435,0.12764274,0.87235726,62.24248887,35.46237479,0.75831217,0.58910326,HSEIPly_152,NA,{790F03E0-5DD4-4C2F-9222-178F2A2E1024},NA,NA,NA,NA,0,0,11001008803,B19013_001,60819,22048,"list(c(-77.00173, -76.992663, -76.980806, -76.978167, -76.985773, -76.986951, -76.988831, -76.9904, -76.993135, -76.993758, -76.998336, -77.002506, -77.00173, 38.909978, 38.913034, 38.917184, 38.917282, 38.910474, 38.909446, 38.907777, 38.906386, 38.904, 38.904274, 38.90623, 38.908001, 38.909978))"
95,004402,11001004402,1400000US11001004402,"Census Tract 44.02, District of Columbia, District of Columbia",76,2517,49.4,6.4,9.9,8,14.7,1.1,8.4,1.9,20.6,0.19464566,0.155077,0.844923,73.2217132,35.658894,0.81229473,0.5034702,HSEIPly_76,NA,{6CC9DD75-4DF0-4BA3-9BBB-0CF0BCD49068},NA,NA,NA,NA,0,0,11001004402,B19013_001,138750,38315,"list(c(-77.031951, -77.029621, -77.027231, -77.027037, -77.025314, -77.023955, -77.021893, -77.021916, -77.027035, -77.02962, -77.031951, -77.031951, 38.916998, 38.916999, 38.917001, 38.916999, 38.916998, 38.91699, 38.916261, 38.914088, 38.91409, 38.914088, 38.914094, 38.916998))"
96,003302,11001003302,1400000US11001003302,"Census Tract 33.02, District of Columbia, District of Columbia",59,2195,56.7,11.6,6.2,11,4,0,9.5,2.5,23.9,0.22198815,0.13038557,0.86961443,65.85194466,36.02040049,0.83699718,0.52949267,HSEIPly_59,NA,{A18A2234-66FC-45FC-8DF7-8A7D5E313EF8},NA,NA,NA,NA,0,0,11001003302,B19013_001,139485,34707,"list(c(-77.014278, -77.009, -77.008999, -77.009013, -77.009026, -77.012157, -77.014085, -77.014085, -77.014278, 38.915054, 38.916893, 38.915564, 38.914085, 38.910783, 38.912117, 38.912935, 38.913344, 38.915054))"
97,004202,11001004202,1400000US11001004202,"Census Tract 42.02, District of Columbia, District of Columbia",73,2601,35.1,1,10,19,4.8,0,8.2,2,18.2,0.11329276,0.15389249,0.84610751,72.52803389,35.17800654,0.75241417,0.43285347,HSEIPly_73,NA,{B9897A77-B99E-461B-9508-F108BA756FED},NA,NA,NA,NA,0,0,11001004202,B19013_001,105449,18778,"list(c(-77.046088, -77.043436, -77.041656, -77.041656, -77.041662, -77.039275, -77.04066, -77.04167, -77.042051, -77.042977, -77.044306, -77.045157, -77.046088, 38.914434, 38.915888, 38.91678, 38.91629, 38.914092, 38.914092, 38.912608, 38.911534, 38.911128, 38.910142, 38.911131, 38.912606, 38.914434))"
98,004801,11001004801,1400000US11001004801,"Census Tract 48.01, District of Columbia, District of Columbia",81,3138,50.1,6,16.6,21,5.3,2.4,9.3,3.2,23.8,0.23778899,0.23504891,0.76495109,66.73323548,35.65790791,0.76957825,0.50368362,HSEIPly_81,NA,{33F829D5-70C6-4678-BC0A-BCF833D01ECE},NA,NA,NA,NA,0,0,11001004801,B19013_001,109453,31331,"list(c(-77.021916, -77.021893, -77.020658, -77.018109, -77.017799, -77.015908, -77.018925, -77.019901, -77.021914, -77.021918, -77.021916, 38.914088, 38.916261, 38.915738, 38.914646, 38.91382, 38.908574, 38.908571, 38.908573, 38.908571, 38.91239, 38.914088))"
99,004600,11001004600,1400000US11001004600,"Census Tract 46, District of Columbia, District of Columbia",77,3169,57.9,2.7,10,21,18.3,0,10,3,26.2,0.26041017,0.15828314,0.84171686,63.9929333,35.51981714,0.7633241,0.51186714,HSEIPly_77,NA,{D6808F6B-1E3F-4272-BC68-E9CE85AE791F},NA,NA,NA,NA,0,0,11001004600,B19013_001,129896,18312,"list(c(-77.018109, -77.017066, -77.0169, -77.014085, -77.012157, -77.009026, -77.009026, -77.009002, -77.009301, -77.01216, -77.01365, -77.014814, -77.015441, -77.015908, -77.017799, -77.018109, 38.914646, 38.914208, 38.914137, 38.912935, 38.912117, 38.910783, 38.910381, 38.907274, 38.907235, 38.906269, 38.905813, 38.905417, 38.907235, 38.908574, 38.91382, 38.914646))"
100,005502,11001005502,1400000US11001005502,"Census Tract 55.02, District of Columbia, District of Columbia",93,2652,21.8,3.5,17.3,13,13.1,2.2,8.8,2.9,19.8,0.17985109,0.08477305,0.91522695,67.55272,35.04241242,0.73688915,0.45837012,HSEIPly_93,NA,{21A51352-EF71-4127-BEBC-59CCFFC2DE12},NA,NA,NA,NA,0,0,11001005502,B19013_001,105351,12758,"list(c(-77.048797, -77.048794, -77.04879, -77.047474, -77.04695, -77.046574, -77.046088, -77.045157, -77.044306, -77.042977, -77.042649, -77.042716, -77.04391, -77.045684, -77.046639, -77.047361, -77.048806, -77.048797, 38.909634, 38.910414, 38.911501, 38.912696, 38.91363, 38.91403, 38.914434, 38.912606, 38.911131, 38.910142, 38.909643, 38.90939, 38.909145, 38.907242, 38.907245, 38.907243, 38.907238, 38.909634))"
101,005302,11001005302,1400000US11001005302,"Census Tract 53.02, District of Columbia, District of Columbia",90,2558,25.8,5,8.6,15,4.9,2.4,8.3,2.1,18.8,0.12793827,0.36220078,0.63779922,73.44435098,34.84835372,0.66249062,0.39521445,HSEIPly_90,NA,{D7C51C45-0AA5-43EC-9894-F19FF5EDC451},NA,NA,NA,NA,0,0,11001005302,B19013_001,87981,14871,"list(c(-77.04167, -77.04066, -77.039275, -77.03848, -77.036509, -77.036515, -77.036518, -77.038486, -77.041667, -77.04167, 38.911534, 38.912608, 38.914092, 38.914091, 38.914093, 38.912609, 38.911124, 38.911126, 38.911128, 38.911534))"
102,005202,11001005202,1400000US11001005202,"Census Tract 52.02, District of Columbia, District of Columbia",88,2793,18.7,1.9,10.9,5,8.2,0.5,8.2,2.2,19.7,0.10452463,0.06487261,0.93512739,74.6282333,34.85932822,0.74407076,0.4242977,HSEIPly_88,NA,{41A75821-5D8B-4C00-AA57-E5AEE706CE3E},NA,NA,NA,NA,0,0,11001005202,B19013_001,133927,22287,"list(c(-77.036518, -77.036518, -77.036515, -77.036509, -77.034545, -77.031951, -77.031952, -77.031952, -77.031952, -77.034557, -77.034564, -77.034566, -77.034568, -77.036185, -77.03618, -77.036524, -77.036518, 38.911011, 38.911124, 38.912609, 38.914093, 38.914092, 38.914094, 38.911129, 38.911011, 38.909648, 38.909649, 38.907934, 38.907244, 38.906558, 38.907132, 38.907345, 38.909642, 38.911011))"
103,005001,11001005001,1400000US11001005001,"Census Tract 50.01, District of Columbia, District of Columbia",85,2006,31.1,1.6,8.7,12,9,3.7,8.6,2.6,22.3,0.15141016,0.18550909,0.81449091,64.17434211,34.82272689,0.67314319,0.41227668,HSEIPly_85,NA,{70AF74B8-6F4D-484A-8ABB-67C479819650},NA,NA,NA,NA,0,0,11001005001,B19013_001,184722,52205,"list(c(-77.031952, -77.031952, -77.031951, -77.02962, -77.027035, -77.027035, -77.02704, -77.027036, -77.027579, -77.028082, -77.028969, -77.029628, -77.030324, -77.031952, -77.031952, 38.911011, 38.911129, 38.914094, 38.914088, 38.91409, 38.912607, 38.910611, 38.909645, 38.909645, 38.910253, 38.909874, 38.910192, 38.909669, 38.909648, 38.911011))"
